Компания;Департамент;Подразделение;Отдел;Должность;Тип тругового договора;Ставка (FTE);Город
ООО ТелеФон;IT-департамент;;Отдел разработки;Программист-разработчик;Трудовой договор;0.2;Москва
ООО ТелеФон;Дивизион МОБАЙЛ;ОП Краснодар;Отдел продаж;Менеджер по продажам;Трудовой договор;1;Краснодар
ООО ТелеФон;Дивизион МОБАЙЛ;ОП Краснодар;Отдел продаж;Менеджер по продажам;Трудовой договор;1;Краснодар
ООО ТелеФон;Дивизион МОБАЙЛ;ОП Краснодар;Отдел продаж;Менеджер по работе с клиентами;Трудовой договор;1;Краснодар
ООО ТелеФон;Дивизион МОБАЙЛ;ОП Краснодар;Отдел продаж;Менеджер по работе с клиентами;Трудовой договор;1;Краснодар
ООО Мега-Ф Холдинг;Департамент финансов;;Юридический отдел\n;Руководитель отдела;Трудовой договор;1;Москва
ООО Мега-Ф Холдинг;Дирекция;;;Генеральный директор;Трудовой договор;0.2;Москва
ООО Мега-Ф Холдинг;Дивизион Оптика;;Отдел продаж;Менеджер по работе с клиентами;Трудовой договор;1;Москва
ООО Мега-Ф Холдинг;Дивизион Оптика;;Отдел продаж;Менеджер по продажам B2С;Трудовой договор;1;Москва
ООО Мега-Ф Холдинг;Дивизион Оптика;;Отдел продаж;Менеджер по продажам маркет-плейс;Трудовой договор;1;Москва
ООО Мега-Ф Холдинг;Дивизион МОБАЙЛ;;Отдел по направлению AR/VR;Руководитель направления AR/VR;Трудовой договор;1;Москва
Ритейл Решения ООО;Дирекция;;;Директор;Трудовой договор;0.25;Санкт-Петербург
Ритейл Решения ООО;Дивизион МОБАЙЛ;ОП Санкт-Петербург;Отдел электронная коммерция;Специалист;Трудовой договор;0.25;Санкт-Петербург
Ритейл Решения ООО;Дивизион МОБАЙЛ;ОП Санкт-Петербург;Отдел логистика;Кладовщик;Трудовой договор;0.25;Санкт-Петербург
Ритейл Решения ООО;Департамент финансов;;Бухгалтерия;Главный бухгалтер;Трудовой договор;0.5;Москва
ООО ТФН;Дирекция;;;Генеральный директор;Трудовой договор;1;Москва
ООО ТФН;Дирекция;;;Президент;Трудовой договор;1;Москва
ООО ТФН;Дирекция;;;Исполнительный Вице-президент;Трудовой договор;1;Москва
ООО ТФН;Дирекция;;;Личный помощник;Трудовой договор;1;Москва
ООО ТФН;Дирекция;;;Личный помощник;Трудовой договор;1;Москва
ООО ТФН;Дирекция;;;Личный помощник;Трудовой договор;1;Москва
ООО ТФН;Дирекция;;;Операционный директор;Трудовой договор;1;Москва
ООО ТФН;Отдел субконтрактов;;;Старший менеджер по продажам;Трудовой договор;1;
ООО ТФН;Отдел сетевые клиенты;;;Менеджер по работе с клиентами;Трудовой договор;1;
ООО ТФН;HR-департамент;;;Директор по бизнес процессам и корпоративному развитию;Трудовой договор;1;Москва
ООО ТФН;HR-департамент;;;Специалист по методологии;Трудовой договор;1;Москва
ООО ТФН;HR-департамент;;Отдел кадров и секретариата;Офис-менеджер;Трудовой договор;1;Москва
ООО ТФН;HR-департамент;;Отдел кадров и секретариата;Офис-менеджер;Трудовой договор;1;Москва
ООО ТФН;HR-департамент;;Отдел кадров и секретариата;Специалист по кадрам;Трудовой договор;1;Москва
ООО ТФН;HR-департамент;;Отдел кадров и секретариата;Руководитель отдела;Трудовой договор;1;Москва
ООО ТФН;HR-департамент;;Отдел персонала;Менеджер по персоналу;Трудовой договор;1;Москва
ООО ТФН;HR-департамент;;Отдел персонала;Руководитель отдела;Трудовой договор;1;Москва
ООО ТФН;Департамент развития;;;Проект-менеджер;Трудовой договор;1;Иркутск
ООО ТФН;Департамент развития;;;Директор по стратегическому развитию;Трудовой договор;1;
ООО ТФН;IT-департамент;;;Директор департамента;Трудовой договор;1;Москва
ООО ТФН;IT-департамент;;;Координатор департамента;Трудовой договор;1;Москва
ООО ТФН;IT-департамент;;Отдел технической поддержки;Специалист технической поддержки;Трудовой договор;1;Москва
ООО ТФН;IT-департамент;;Отдел технической поддержки;Ведущий специалист технической поддержки;Трудовой договор;1;Москва
